ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
34.452711,56.711875,-77.75388,10.603,0.2687,9.811,0.0839,9.582,0.0229,2.7357305,30.470749,-0.20140088
35.829916,56.62258,-52.05283,11.226,0.2202,10.371,0.0684,10.123,0.0186,9.2008332,13.040425,-0.12671254
33.694,60.7351,-78.607346,11.251,0.8112,9.798,0.225,9.225,0.0535,21.458414,2.955283,-1.2552507
36.8069,59.4806,68.99847,13.676,0.5081,13.092,0.1439,12.832,0.0351,9.8787971e-07,2.0810697,999
31.426,59.4243,-86.05659,11.724,0.4198,10.702,0.1225,10.385,0.0309,13.42804,7.550663,-0.36520795
30.5547,60.1781,-59.76098,11.531,0.6567,10.467,0.188,10.12,0.0464,4.3924907,2.430027,-0.81335758
72.323437,26.116676,58.935402,9.159,0.7541,8.015,0.3007,7.595,0.1097,3.0552132,50.747776,-0.26669518
71.425875,26.440043,107.15109,10.58,0.4045,9.638,0.1635,9.34,0.0606,6.0973185,42.038857,-0.20834586
71.482891,26.330408,44.45499,10.24,0.4273,9.2,0.1729,8.852,0.0642,9.0613714,46.239693,-0.60594774
71.90732,28.370124,13.275934,9.36,0.3704,8.413,0.1425,8.117,0.0498,4.0559325,137.9402,-0.26410636
72.937367,28.271447,47.21359,10.055,0.4044,9.141,0.1524,8.841,0.052,3.8990858,55.499825,-0.25330062
74.131738,27.621484,47.94415,11.613,0.4835,10.567,0.1797,10.241,0.0604,12.323285,19.138659,-0.61900475
74.084495,28.182573,51.61509,9.126,0.4198,8.048,0.1545,7.701,0.0513,6.0301956,76.97965,-0.34634198
74.369661,27.969669,-0.87331605,7.88,0.4657,6.769,0.171,6.281,0.0566,4.6323233,87.49332,999
74.180115,27.811856,87.65327,13.598,0.445,13.157,0.1646,13.031,0.055,8.2725323e-55,2.9148571,999
74.446212,27.763964,77.54338,9.532,0.4744,8.572,0.1746,8.275,0.058,2.5790578,76.085236,-0.22623478
74.339497,26.755853,49.236168,11.595,0.627,10.555,0.2359,10.136,0.0804,9.586072,9.546742,-0.41601639
74.477667,27.023224,83.14877,9.93,0.6006,8.825,0.2241,8.477,0.0756,4.8760802,33.82958,-0.63332896
